"Type","KeyCite Treatment","KeyCite URL","Title","Document URL","Court Line","Filed Date","Citation","Cite Caveat","Parallel Cite","Docket Num","Summary",
"Cases","","","SB Premium, LLC v. Wolfpack Wholesale, Inc.","https://www.westlaw.com/Document/I6c5e49b0b81611e8ae6bb4b0ae8dca5a/View/FullText.html?listSource=Search&list=CASE&rank=299&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","September 13, 2018","Slip Copy","","2018 WL 4362726","3:17-CV-931-L","Before the court is Third Party Defendants' Motion to Dismiss Certain Claims in Wolfpack Wholesale, Inc.s First Amended Third Party Complaint (Doc. 53), filed October 20, 2017. Third Party Defendants SB Products (SB Products), Tiffany Gresham, and Larry Gresham (the Greshams) (collectively, the Third Party...",
"Cases","","","Bates Energy Oil & Gas, LLC v. Complete Oil Field Services, LLC","https://www.westlaw.com/Document/Ifda6f980996311e79e029b6011d84ab0/View/FullText.html?listSource=Search&list=CASE&rank=300&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, San Antonio Division.","September 13, 2017","Not Reported in Fed. Supp.","","2017 WL 4051569","SA–17–CA–808–XR","On this date, the Court considered Complete Oil Field Services' motion for temporary restraining order and for preliminary injunction (docket no. 13). Plaintiff Bates Energy Oil & Gas, LLC filed this action in state court against Defendants Complete Oil Field Services, LLC (COFS) and Sam Taylor. Bates sues COFS for breach of contract...",
"Cases","","","Longmire v. Wells Fargo Bank, N.A.","https://www.westlaw.com/Document/I0f33ed70990f11e7a9cdf8f74902bf96/View/FullText.html?listSource=Search&list=CASE&rank=301&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","September 13, 2017","Not Reported in Fed. Supp.","","2017 WL 4022888","3:16-CV-2367-M-BN","The United States Magistrate Judge made Findings, Conclusions, and a Recommendation in this case on August 16, 2017. See Dkt. No. 17. No objections were filed. The District Court reviewed the proposed Findings, Conclusions, and Recommendation for plain error. Finding none, the Court ACCEPTS the Findings, Conclusions and Recommendation of the United...",
"Cases","","","Pawlowski v. U.S. Bank National Association as Trustee for Sasco Mortgage Loan Trust 2004-GEL2","https://www.westlaw.com/Document/I47bb06d05f2811e89034f60e1699ddbe/View/FullText.html?listSource=Search&list=CASE&rank=302&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Houston Division.","March 07, 2018","Slip Copy","","2018 WL 2335340","4:16-CV-02525","Pending before the Court is U.S. Bank National Association, as Indenture Trustee for Sasco Mortgage Loan Trust 2004-GEL2 and Americas Servicing Company (collectively, Defendants)s Motion for Summary Judgment. (Instrument No. 35). Plaintiff Kevin L. Pawlowski (Plaintiff) brings suit against Defendants for...",
"Cases","","","BNSF Railway Company v. Panhandle Northern Railroad, LLC","https://www.westlaw.com/Document/I04b6e900919911e892c4ce5625aacf64/View/FullText.html?listSource=Search&list=CASE&rank=303&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Fort Worth Division.","May 25, 2017","Slip Copy","","2017 WL 9934884","4:16-CV-01061-O","Before the Court are Plaintiffs Motion for Entry of Protective Order and Brief in Support (ECF No. 29), filed on May 3, 2017; Defendants Response to Plaintiffs Motion for Protective Order (ECF No. 38), filed on May 19, 2017; and Plaintiffs Reply Brief in Support of its Motion for Entry of a Protective Order (ECF No. 40),...",
"Cases","","","Calixtro-Calixtro v. Estate of Hodges","https://www.westlaw.com/Document/I8168aaf0e3bb11e8a174b18b713fc6d4/View/FullText.html?listSource=Search&list=CASE&rank=304&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, Austin Division.","November 07, 2018","Slip Copy","","2018 WL 5839690","1:17-CV-394-LY","Before the court in the above-styled and numbered cause are Defendant's Motion to Dismiss filed September 11, 2018 (Dkt. No. 18), Plaintiff's Response to Defendant's Motion to Dismiss filed September 25, 2018 (Dkt. No. 19), and Defendant's Reply to Plaintiff's Response to Defendant's Motion to Dismiss filed October 1, 2018 (Dkt. No. 21). Having...",
"Cases","","","Hall Arts Center Office, LLC v. Hanover Insurance Company","https://www.westlaw.com/Document/I434246e0b0e011e8943bb2cb5f7224e8/View/FullText.html?listSource=Search&list=CASE&rank=305&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","September 04, 2018","327 F.Supp.3d 979","","2018 WL 4206978","CV 3:16-CV-3226-D","INSURANCE  Property. Insurer did not breach builder's risk policy, under Texas law, by requiring insured to produce certain documentation as part of investigation of claims.",
"Cases","Red KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I938d867094b411e888e382e865ea2ff8&rank=306&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Bibby Offshore Limited v. Emas Chiyoda Subsea, Inc.","https://www.westlaw.com/Document/I938d867094b411e888e382e865ea2ff8/View/FullText.html?listSource=Search&list=CASE&rank=306&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Corpus Christi Division.","May 01, 2018","Slip Copy","","2018 WL 3621051","2:17-CV-33","This case, filed on January 24, 2017, arises from a maritime contract dispute between Plaintiff Bibby Offshore Limited (Bibby) and Emas Chiyoda Subsea, Inc. (EMAS). (D.E. 1 and 43). Bibby moved for and was granted a writ of attachment commanding the seizure of the M/V LEWEK EXPRESS (the Vessel) pursuant to...",
"Cases","","","EMF Swiss Avenue LLC v. City of Dallas","https://www.westlaw.com/Document/I70a38c90c5f711e7b3adfa6a631648d5/View/FullText.html?listSource=Search&list=CASE&rank=307&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","November 08, 2017","Not Reported in Fed. Supp.","","2017 WL 5192051","3:17-CV-2995-L","Before the court is Plaintiff EMF Swiss Avenue, LLCs Application for Temporary Restraining Order (Doc. 1), filed October 30, 2017. After considering the motion, pleadings, evidence, and applicable law, the court, sua sponte, dismisses this action without prejudice for lack of subject matter jurisdiction. Plaintiff EMF Swiss Avenue, LLC...",
"Cases","","","Jani-King Franchising, Inc. v. Jani-King (GB) Ltd.","https://www.westlaw.com/Document/Ie1470de0b7c511e7b38a81315a4346f0/View/FullText.html?listSource=Search&list=CASE&rank=308&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","October 20, 2017","Not Reported in Fed. Supp.","","2017 WL 4758673","3:13-CV-4136-B","Before the Court are the parties' motions for summary judgment. Docs. 179 & 185. For the reasons that follow, the Court GRANTS Plaintiffs, Doc. 179, and DENIES Defendants', Doc. 185. This case arises out of a contract dispute. Plaintiff Jani-King Franchising, Inc. (Jani-King) is a commercial cleaning company. In 1992, Defendant Jani-King GB...",
"Cases","","","La Verdure & Associates v. Depositors Insurance Company","https://www.westlaw.com/Document/Ia60bed40b59a11e7bf23e096364180a5/View/FullText.html?listSource=Search&list=CASE&rank=309&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, E.D. Texas, Sherman Division.","October 19, 2017","Not Reported in Fed. Supp.","","2017 WL 4770701","4:16-CV-00883","Pending before the Court is Defendants Motion to Strike or Limit Expert Testimony (Dkt. #27) (Motion to Strike) and Plaintiffs Opposed Motion for Leave to Amend Designation of Expert Witnesses (Dkt. #30) (Motion for Leave). After reviewing the motion and the responses, the Court finds Defendants...",
"Cases","","","Medina v. Allstate Texas Lloyd's","https://www.westlaw.com/Document/I88f3ae70784411e7a3f3a229dca6c9c6/View/FullText.html?listSource=Search&list=CASE&rank=310&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Fort Worth Division.","January 11, 2017","Not Reported in Fed. Supp.","","2017 WL 3288513","4:16-CV-781-Y","Pending before the Court is Plaintiffs Motion to Remand (doc. 8). After review, the Court concludes the motion should be and hereby is DENIED. On May 5, 2016, Plaintiffs filed a state-court petition against defendant Allstate Texas Lloyds (Allstate), in the 17th Judicial District Court, Tarrant County, Texas, bearing...",
"Cases","","","Windmill Investments, LLC v. RedHill Realty Investors, LP","https://www.westlaw.com/Document/I8bcaa4708d4611e7a9cdf8f74902bf96/View/FullText.html?listSource=Search&list=CASE&rank=311&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, San Antonio Division.","June 13, 2017","Not Reported in Fed. Supp.","","2017 WL 3713471","5:16–CV–345–OLG","This case is before the Court on Defendants' Motion for Summary Judgment on Plaintiff's Claim for Attorney's Fees (docket no. 15). Plaintiff has not responded to Defendants' motion. The Court finds that Defendants' motion should be GRANTED IN PART and DENIED IN PART. Plaintiff's Original Complaint asserts claims for statutory fraud, common law...",
"Cases","","","Shead v. Johnson","https://www.westlaw.com/Document/Ica926730039a11e9a174b18b713fc6d4/View/FullText.html?listSource=Search&list=CASE&rank=312&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","November 21, 2018","Slip Copy","","2018 WL 6624387","3:18-MC-0080-S (BT)","Pursuant to the provisions of 28 U.S.C. §636(b) and an order of the District Court, Plaintiffs petition to perpetuate testimony under Fed. R. Civ. P. 27(a) has been referred to the United States Magistrate Judge for findings, conclusions, and a recommendation. For the following reasons, the magistrate judge recommends that the...",
"Cases","","","In re Dahlin","https://www.westlaw.com/Document/I14d956f0ad1011e8b50ba206211ca6a0/View/FullText.html?listSource=Search&list=CASE&rank=313&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States Bankruptcy Court, S.D. Texas, Houston Division.","August 28, 2018","590 B.R. 759","","2018 WL 4154759","16-36169, AP 17-03317","BANKRUPTCY  Avoidance. Equitable subrogation rights were unenforceable against Chapter 7 trustee.",
"Cases","","","Pierce v. Fondren Orthopedic Group, LLP","https://www.westlaw.com/Document/Ib67f2ac0f3ce11e8a573b12ad1dad226/View/FullText.html?listSource=Search&list=CASE&rank=314&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Houston Division.","November 28, 2018","Slip Copy","","2018 WL 6200049","CV H-18-1686","Plaintiff, Peggy Pierce (Pierce or Plaintiff), sued defendants, Fondren Orthopedic Group, LLP and Fondren Orthopedic Ltd. (collectively, Defendants), in this court for federal and state employment claims and state breach of contract claims. Pending before the court are Pierces Motion for Partial...",
"Cases","","","Johnson v. Deutsche Bank National Trust Company","https://www.westlaw.com/Document/I77b379d0e38011e8a99cca37ea0f7dc8/View/FullText.html?listSource=Search&list=CASE&rank=315&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Houston Division.","November 07, 2018","Slip Copy","","2018 WL 5831939","CV H-18-1297","Plaintiffs Joseph Johnson Jr. and Dawn Johnson, Husband and Wife, (Plaintiffs) sued defendants Deutsche Bank National Trust Company, as Trustee in Trust for Registered Holders of Long Beach Mortgage Loan Trust 2005-1 Asset-Backed Certificates Series 2005-1 (Deutsche Bank), and Select Portfolio Servicing, Inc....",
"Cases","","","Jones v. Allstate Texas Lloyds","https://www.westlaw.com/Document/I994d1440a9f411e8a5d58a2c8dcb28b5/View/FullText.html?listSource=Search&list=CASE&rank=316&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, E.D. Texas, Sherman Division.","August 22, 2017","Slip Copy","","2017 WL 10129162","4:17-CV-0199-ALM-CAN","Pending before the Court is Defendant Allstate Vehicle and Property Insurance Company's (Defendant) Motion to Sever and Abate (Motion) [Dkt. 21]. Defendant requests the Court sever Plaintiff Ann Jones' (Plaintiff) contractual and extra-contractual claims, and abate the extra-contractual claims until the...",
"Cases","","","Humana, Inc. v. Shrader & Associates, LLP","https://www.westlaw.com/Document/I08de4f402c4611e8b25db53553f40f1b/View/FullText.html?listSource=Search&list=CASE&rank=317&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Galveston Division.","March 16, 2018","584 B.R. 658","","2018 WL 1384529","CV G–16–0354","HEALTH  Medicare. Asbestos bankruptcy trusts can constitute primary plans under the Medicare Secondary Payer Act.",
"Cases","","","Southwest Refrigerated Warehousing Services Joint Venture v. M.A. & Sons, Inc.","https://www.westlaw.com/Document/Ib6c8c070000f11e9a1b0e6625e646f8f/View/FullText.html?listSource=Search&list=CASE&rank=318&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, El Paso Division.","December 14, 2018","Slip Copy","","2018 WL 6583906","EP-16-CV-00421-DCG","On November 13, 2018, the Court commenced a Bench Trial in the above-captioned cause. Having duly considered the parties' pleadings, witness testimony, and exhibits, the Court now enters its Findings of Fact and Conclusions of Law. This case arises from a dispute over a storage contract. Plaintiff Southwest Refrigerated Warehousing Services Joint...",
"Cases","","","Ginsburg v. ICC Holdings, LLC","https://www.westlaw.com/Document/I4d45f700c9f911e7a814f1ab34e02c4f/View/FullText.html?listSource=Search&list=CASE&rank=319&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","November 13, 2017","Not Reported in Fed. Supp.","","2017 WL 5467688","3:16-CV-2311-D","In this action arising from defendants' alleged misrepresentations and breach of contract in connection with plaintiff Scott Ginsburgs (Ginsburgs) investment in defendants' medical marijuana business, defendants move to dismiss under Fed. R. Civ. P. 12(b)(6) and 9(b). For the reasons that follow, the court grants...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Idea69810d74311e7929ecf6e705a87cd&rank=320&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Mbakwe v. PNC Bank, N.A.","https://www.westlaw.com/Document/Idea69810d74311e7929ecf6e705a87cd/View/FullText.html?listSource=Search&list=CASE&rank=320&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","November 03, 2017","Not Reported in Fed. Supp.","","2017 WL 5956821","3:17-CV-856-M-BH","Pursuant to Special Order No. 3-251, this foreclosure case has been automatically referred for full case management. Before the Court for recommendation is Defendant PNC Bank, N.A.s Motion to Dismiss, filed March 31, 2017 (doc. 4). Based upon the relevant filings and applicable law, the motion should be GRANTED. This case involves the...",
"Cases","","","Bruckner Truck Sales, Inc. v. Bayou Diesel Services, LLC","https://www.westlaw.com/Document/I4b32c940aaa711e8943bb2cb5f7224e8/View/FullText.html?listSource=Search&list=CASE&rank=321&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Amarillo Division.","November 21, 2017","Slip Copy","","2017 WL 10152283","2:17-CV-0204","The issue before the Court in this diversity case, removed from state court, is two-fold: first, whether Texas or Louisiana law applies to an agreement between two of the three parties; and second, whether plaintiff is entitled to injunctive relief based on alleged violations of that agreement. Plaintiff Bruckner Truck Sales, Inc....",
"Cases","","","Snead v. EOG Resources, Inc.","https://www.westlaw.com/Document/I4fa804c0def311e78c5db03c58f2bc1d/View/FullText.html?listSource=Search&list=CASE&rank=322&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, San Antonio Division.","February 14, 2017","Not Reported in Fed. Supp.","","2017 WL 6294875","5:16–CV–1134–OLG","This case is before the Court on Plaintiff's motions for conditional certification (docket no. 5) and for judgment on the pleadings on Defendant's counterclaims for indemnification, breach of contract, and unjust enrichment (docket no. 14). The Court finds that both motions should be GRANTED. Plaintiff's complaint alleges that Defendant...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=I00f515a092c311e8809390da5fe55bec&rank=323&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","9503 Middlex, Inc. v. Continental Motors, Inc.","https://www.westlaw.com/Document/I00f515a092c311e8809390da5fe55bec/View/FullText.html?listSource=Search&list=CASE&rank=323&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, San Antonio Division.","June 05, 2018","Slip Copy","","2018 WL 3603083","SA-17-CV-622-OLG (HJB)","This Report and Recommendation concerns Plaintiffs' Motion for Final Summary Judgment (Docket Entry 34). This case was referred to the undersigned for disposition of all pretrial matters, pursuant to Local Rule CV-72 and Appendix C. (Docket Entry 10.) For the reasons set out below, I recommend that Plaintiffs' Motion for Final Summary Judgment...",
"Cases","","","Snelling Employment, LLC v. Doc Johnson Enterprises","https://www.westlaw.com/Document/Iba4c68c096ef11e888e382e865ea2ff8/View/FullText.html?listSource=Search&list=CASE&rank=324&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","August 02, 2018","Slip Copy","","2018 WL 3659067","3:18-CV-0521-B","Before the Court is Defendant Doc Johnson Enterprises' (DJE) Motion to Dismiss, Doc. 8. For the reasons that follow, the Court DENIES DJEs motion. This is a breach of contract case. On August 8, 2017, Plaintiff Snelling Employment LLC (Snelling) and DJE entered into an agreement whereby Snelling would furnish [DJE] with Field...",
"Cases","","","Streckfuss v. Comcast Corporation","https://www.westlaw.com/Document/I2b77f2a0de8411e7929ecf6e705a87cd/View/FullText.html?listSource=Search&list=CASE&rank=325&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Houston Division.","February 27, 2017","Slip Copy","","2017 WL 6271663","4:15–CV–1805","Before the Court is Defendant Liberty Insurance Corporations (Liberty) Motion for Summary Judgment (Doc. #58), Plaintiffs Response (Doc. #108), and Libertys Reply (Doc. #112). Additionally before the Court is Libertys Motion for Partial Summary Judgment on Plaintiffs ExtraContractual Claims...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib6fe90c0a0c811e892c4ce5625aacf64&rank=326&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Electro Grafix, Corp. v. Acadia Insurance Company","https://www.westlaw.com/Document/Ib6fe90c0a0c811e892c4ce5625aacf64/View/FullText.html?listSource=Search&list=CASE&rank=326&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, San Antonio Division.","August 14, 2018","Slip Copy","","2018 WL 3865416","SA-18-CA-589-XR","On this date, the Court considered its jurisdiction over this removed case, Plaintiff Electro Grafix, Corp.s Motion to Remand (Docket no. 10), and Defendant Marlin Douglas Odermatts Motion to Dismiss (Docket no. 7). After careful consideration, the Court finds that Defendant Odermatt is improperly joined and DENIES Plaintiffs...",
"Cases","","","Shastry v. U.S. Bank National Association","https://www.westlaw.com/Document/I98c941b011a211e79eadef7f77b52ba6/View/FullText.html?listSource=Search&list=CASE&rank=327&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","March 02, 2017","Not Reported in Fed. Supp.","","2017 WL 1102807","3:16-CV-3335-G-BN","This case has been referred to the United States magistrate judge for pretrial management pursuant to 28 U.S.C. §636(b) and a standing order of reference from Senior United States District Judge A. Joe Fish. The undersigned issues the following findings of fact, conclusions of law, and recommendation on the Courts subject matter...",
"Cases","Yellow KeyCite","https://www.westlaw.com/Link/RelatedInformation/Flag?docGuid=Ib9bb0a00148811e7815ea6969ee18a03&rank=328&listSource=Search&list=CASE&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","Baker v. U.S. Bank, N.A.","https://www.westlaw.com/Document/Ib9bb0a00148811e7815ea6969ee18a03/View/FullText.html?listSource=Search&list=CASE&rank=328&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Fort Worth Division.","March 10, 2017","Not Reported in Fed. Supp.","","2017 WL 1155892","4:16-CV-00407-O-BP","Before the Court are Defendants' Motion for Summary Judgment (ECF No. 17), Brief in Support (ECF No. 18), and Appendix in Support (ECF No. 19), filed February 6, 2017; Plaintiffs Response and Brief to Defendants' Motion for Summary Judgment (ECF No. 22) and Attachments (ECF No. 23), filed February 27, 2017; and Defendants' Reply in Support...",
"Cases","","","Lowe v. Burlington Stores, Inc.","https://www.westlaw.com/Document/I952980d0153311e7bc7a881983352365/View/FullText.html?listSource=Search&list=CASE&rank=329&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, N.D. Texas, Dallas Division.","March 29, 2017","Not Reported in Fed. Supp.","","2017 WL 1165560","3:16-CV-03068-B-BF","The Court has under consideration the Findings, Conclusions, and Recommendation of United States Magistrate Judge Paul D. Stickney dated March 7, 2017. The Court has reviewed the Findings, Conclusions, and Recommendation for plain error. Finding none, the Court accepts the Findings, Conclusions, and Recommendation of the United States Magistrate...",
"Cases","","","Texas State Aquarium v. Fishman Chemical of North Carolina, LLC","https://www.westlaw.com/Document/Ib6e1f8e0183711e7815ea6969ee18a03/View/FullText.html?listSource=Search&list=CASE&rank=330&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, S.D. Texas, Corpus Christi Division.","March 31, 2017","Not Reported in Fed. Supp.","","2017 WL 1196202","2:15-CV-214","BE IT REMEMBERED that on March 31, 2017 the Court GRANTED Plaintiff Texas State Aquariums Motion for Default Judgment against Asiamerica Enterprise, Inc., Dkt. No. 65; and GRANTED Third Party Plaintiff Fishman Chemical of North Carolina, LLCs Motion for Default Judgment against Asiamerica Enterprise, Inc., Dkt. No. 66. On May 14, 2015...",
"Cases","","","Starnet Insurance Company v. Federal Insurance Company","https://www.westlaw.com/Document/Ia2b331a01c5511e7afe7804507f6db3f/View/FullText.html?listSource=Search&list=CASE&rank=331&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, W.D. Texas, Austin Division.","April 06, 2017","Not Reported in Fed. Supp.","","2017 WL 1293578","A-16-CA-664-SS","BE IT REMEMBERED on this day the Court reviewed the file in the above-styled cause, and specifically Plaintiffs' Motion for Summary Judgment [#25], Defendants Motion for Summary Judgment [#26], the parties' Responses [##27, 29] in opposition, and the parties' Replies [##28, 30] in support. Having reviewed the documents, the governing law,...",
"Cases","","","Ward v. Modere, Inc.","https://www.westlaw.com/Document/I67cb93b09a3111e888e382e865ea2ff8/View/FullText.html?listSource=Search&list=CASE&rank=332&sessionScopeId=0066e1cf23c3ad09864e12e5e17a6d395f5650c427ebc0abee68fb245346c742&originationContext=Search%20Result&transitionType=SearchItem&contextData=%28sc.Default%29&VR=3.0&RS=cblt1.0","United States District Court, E.D. Texas, Sherman Division.","August 06, 2018","Slip Copy","","2018 WL 3730323","4:18-CV-00426","Pending before the Court is Plaintiff Jessie Lee Wards (Ward) Motion to Remand (Dkt. #5). Having considered the relevant pleadings, the Court finds that Wards motion should be denied. This is a case about a failed business association. Ward entered an agreement to develop business for Defendant Modere, Inc....",
